id,time,operator,action,target,detail,ip
AL0250,2026-09-01T20:19:53,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0251,2026-09-01T20:19:54,李明,LOGOUT,,退出登录,0:0:0:0:0:0:0:1
AL0252,2026-09-01T20:19:59,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0253,2026-09-01T20:20:04,辅导员张老师,LOGIN,sys_user/S1005,登录成功,0:0:0:0:0:0:0:1
AL0254,2026-09-01T20:23:20,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0255,2026-09-01T20:32:24,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0256,2026-09-02T13:08:38,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0257,2026-09-02T13:17:11,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0258,2026-09-02T13:17:18,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0259,2026-09-02T13:24:06,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0260,2026-09-02T13:36:48,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0261,2026-09-02T18:10:04,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0262,2026-09-02T18:17:47,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0263,2026-09-02T18:23:03,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0264,2026-09-02T18:24:54,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0265,2026-09-02T18:52:44,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0266,2026-09-02T19:06:18,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0267,2026-09-02T19:13:26,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0268,2026-09-02T19:17:07,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0269,2026-09-02T20:08:20,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0270,2026-09-02T21:02:29,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
